itemA,itemB,freqAB,supportAB,freqA,supportA,freqB,supportB,confidenceAtoB,confidenceBtoA,lift
Greek Whole Milk Blended Blueberry Yogurt,Organic Greek Whole Milk Blended Strawberry Yogurt,689,0.023159189,2647,0.088972966,4198,0.14110635,0.260294673,0.164125774,1.844670154
Chocolate Sea Salt,Peanut Butter Egg White Protein Bar,631,0.021209649,4326,0.145408783,2373,0.07976307,0.145862228,0.265908133,1.828693751
Almond Milk Strawberry Yogurt,Almond Milk Blueberry Yogurt,1640,0.05512492,5712,0.191996063,4714,0.158450533,0.287114846,0.347899873,1.812015657
Almond Milk Peach Yogurt,Almond Milk Blueberry Yogurt,1289,0.043326843,4703,0.158080792,4714,0.158450533,0.274080374,0.273440815,1.729753569
Stage 1 Apples Sweet Potatoes Pumpkin & Blueberries Organic Pureed Baby Food,"Organic Apples, Carrots and Parsnips Puree",813,0.027327171,5577,0.187458341,2568,0.086317558,0.1457773,0.316588785,1.688848749
Unsweetened Watermelon Water,Unsweetened Blackberry Water,710,0.023865057,4107,0.13804759,3108,0.104468446,0.172875578,0.228442728,1.654811425
Chocolate Peanut Butter,Acai Berry Chia Bar,729,0.024503699,4649,0.156265703,2879,0.096771125,0.156807916,0.253212921,1.620399842
Stage 1 Apples Sweet Potatoes Pumpkin & Blueberries Organic Pureed Baby Food,Organic 4 Months Butternut Squash Carrots Apples + Prunes Baby Food,930,0.031259863,5577,0.187458341,3234,0.108703653,0.166756321,0.287569573,1.534045226
Almond Milk Strawberry Yogurt,Almond Milk Peach Yogurt,1376,0.046251152,5712,0.191996063,4703,0.158080792,0.240896359,0.292579205,1.52388127
"Organic Pears, Peas and Broccoli Puree Stage 1",Organic 4 Months Butternut Squash Carrots Apples + Prunes Baby Food,812,0.027293558,5028,0.169004938,3234,0.108703653,0.161495625,0.251082251,1.485650384
"Organic Pears, Peas and Broccoli Puree Stage 1","Organic Apples, Carrots and Parsnips Puree",628,0.021108811,5028,0.169004938,2568,0.086317558,0.124900557,0.244548287,1.446989002
Non-Fat Greek Yogurt With Strawberries on the Bottom,Non-Fat Blueberry on the Bottom Greek Yogurt,670,0.022520547,4634,0.155761512,3015,0.10134246,0.144583513,0.222222222,1.426682492
Chocolate Peanut Butter,Coconut Chia Bar,970,0.032604373,4649,0.156265703,4646,0.156164865,0.208647021,0.208781748,1.336068908
Almond Milk Blueberry Yogurt,Almond Milk Peach Yogurt,971,0.032637986,4714,0.158450533,4703,0.158080792,0.205982181,0.206463959,1.303018398
Organic Lemon Lowfat Yogurt,Lowfat Key Lime Yogurt,657,0.022083581,3954,0.132904838,3912,0.131493102,0.16616085,0.167944785,1.263646891
Coconut Chia Bar,Chocolate Peanut Butter,900,0.030251481,4646,0.156164865,4649,0.156265703,0.193715024,0.193590019,1.239651564
Almond Milk Peach Yogurt,Almond Milk Strawberry Yogurt,1101,0.037007645,4703,0.158080792,5712,0.191996063,0.23410589,0.192752101,1.21932651
Yotoddler Organic Pear Spinach Mango Yogurt,Organic Whole Milk Strawberry Beet Berry Yogurt Pouch,1533,0.051528355,6120,0.205710068,6271,0.210785594,0.250490196,0.244458619,1.188364875
Almond Milk Blueberry Yogurt,Almond Milk Strawberry Yogurt,1062,0.035696747,4714,0.158450533,5712,0.191996063,0.225286381,0.18592437,1.173390627
YoKids Squeeze! Organic Strawberry Flavor Yogurt,YoKids Squeeze Organic Blueberry Blue Yogurt,926,0.031125412,6799,0.228533129,3468,0.116569038,0.136196499,0.267012687,1.16837628
YoKids Squeeze! Organic Strawberry Flavor Yogurt,Yokids Organic Strawberry Banana Lowfat Yogurt Squeeze,625,0.021007973,6799,0.228533129,2365,0.079494168,0.091925283,0.264270613,1.156377695
Organic Nonfat Greek Yogurt With Peaches,Organic Nonfat Greek Yogurt With Raspberries,616,0.020705458,6062,0.203760528,2664,0.089544382,0.101616628,0.231231231,1.134818571
Organic Greek Nonfat Yogurt With Mixed Berries,Organic Nonfat Greek Yogurt With Raspberries,698,0.023461704,6887,0.231491052,2664,0.089544382,0.10135037,0.262012012,1.131845097
"Organic Pears, Peas and Broccoli Puree Stage 1",Stage 1 Apples Sweet Potatoes Pumpkin & Blueberries Organic Pureed Baby Food,1057,0.035528683,5028,0.169004938,5577,0.187458341,0.210222753,0.18952842,1.121437175
Peanut Butter Bar,Almond Butter,615,0.020671845,5295,0.177979544,3142,0.10561128,0.116147309,0.195735201,1.099762344
Organic Greek Lowfat Yogurt With Strawberries,Organic Greek Lowfat Yogurt With Blueberries,1092,0.03670513,6302,0.211827589,4774,0.160467298,0.173278324,0.228739003,1.079835745
Yotoddler Organic Pear Spinach Mango Yogurt,Blueberry Whole Milk Yogurt Pouch,1053,0.035394232,6120,0.205710068,4917,0.165273922,0.172058824,0.214154973,1.041052462
Organic Raspberry Lowfat Yogurt,Lowfat Blueberry Yogurt,789,0.026520465,5266,0.177004774,4318,0.145139881,0.149829092,0.182723483,1.032308219
"Yogurt, Lowfat, Strawberry",Lowfat Blueberry Yogurt,1196,0.040200856,8025,0.269742368,4318,0.145139881,0.149034268,0.276980083,1.026831955
Baby Food Stage 2 Pumpkin Banana,Apple and Carrot Stage 2 Baby Food,623,0.020940747,4457,0.149812054,4116,0.138350104,0.139780121,0.151360544,1.010336217
Lowfat Blueberry Yogurt,Organic Peach Lowfat Yogurt,620,0.020839909,4318,0.145139881,4237,0.142417248,0.143584993,0.14632995,1.008199464
Organic Whole Milk Strawberry Beet Berry Yogurt Pouch,Blueberry Whole Milk Yogurt Pouch,1040,0.034957266,6271,0.210785594,4917,0.165273922,0.165842768,0.211511084,1.003441839
Stage 1 Apples Sweet Potatoes Pumpkin & Blueberries Organic Pureed Baby Food,Stage 1 Apples & Strawberries Organic Pureed Baby Food,605,0.020335717,5577,0.187458341,3217,0.108132237,0.108481262,0.188063413,1.003227767
Organic Whole Milk Strawberry Beet Berry Yogurt Pouch,Yotoddler Organic Pear Spinach Mango Yogurt,1290,0.043360455,6271,0.210785594,6120,0.205710068,0.205708818,0.210784314,0.999993926
Organic 4 Months Butternut Squash Carrots Apples + Prunes Baby Food,Stage 1 Apples Sweet Potatoes Pumpkin & Blueberries Organic Pureed Baby Food,601,0.020201266,3234,0.108703653,5577,0.187458341,0.185837972,0.107764031,0.991356108
Vitamin Water Zero Squeezed Lemonade,Vitamin Water Zero Rise Orange,802,0.02695743,5601,0.188265047,4308,0.144803754,0.143188716,0.186165274,0.988846717
Strawberry on the Bottom Nonfat Greek Yogurt,Blueberry on the Bottom Nonfat Greek Yogurt,1608,0.054049312,7622,0.256196428,6368,0.214046031,0.21096825,0.252512563,0.985620936
Organic Peach Lowfat Yogurt,Lowfat Blueberry Yogurt,596,0.020033203,4237,0.142417248,4318,0.145139881,0.140665565,0.138026864,0.969172388
YoKids Squeeze Organic Blueberry Blue Yogurt,YoKids Squeeze! Organic Strawberry Flavor Yogurt,768,0.025814597,3468,0.116569038,6799,0.228533129,0.221453287,0.112957788,0.9690205
Vanilla Almond Milk Yogurt,Almond Milk Blueberry Yogurt,832,0.027965813,5430,0.182517266,4714,0.158450533,0.153222836,0.176495545,0.967007391
Blueberry Whole Milk Yogurt Pouch,Organic Whole Milk Strawberry Beet Berry Yogurt Pouch,996,0.033478305,4917,0.165273922,6271,0.210785594,0.202562538,0.158826343,0.96098853
Blueberry on the Bottom Nonfat Greek Yogurt,Non Fat Black Cherry on the Bottom Greek Yogurt,951,0.031965731,6368,0.214046031,4660,0.156635444,0.149340452,0.204077253,0.953426943
Almond Milk Strawberry Yogurt,Vanilla Almond Milk Yogurt,982,0.033007727,5712,0.191996063,5430,0.182517266,0.171918768,0.180847145,0.941931529
"Yogurt, Lowfat, Strawberry",Organic Peach Lowfat Yogurt,1067,0.035864811,8025,0.269742368,4237,0.142417248,0.132959502,0.251829124,0.933591285
Raspberry on the Bottom Nonfat Greek Yogurt,Non Fat Black Cherry on the Bottom Greek Yogurt,732,0.024604538,5021,0.168769649,4660,0.156635444,0.145787692,0.157081545,0.930745227
"Peach,  Apricot & Banana Stage 2 Baby Food",Pear & Mango Stage 2 Baby Food,636,0.021377713,5094,0.17122338,4016,0.134988829,0.124852768,0.158366534,0.924911854
Stage 1 Apples Sweet Potatoes Pumpkin & Blueberries Organic Pureed Baby Food,"Organic Pears, Peas and Broccoli Puree Stage 1",868,0.029175872,5577,0.187458341,5028,0.169004938,0.155639233,0.172633254,0.920915296
Blueberry Muffin Bar,Lemon Fruit & Nut Food Bar,699,0.023495317,5747,0.19317251,3964,0.133240965,0.121628676,0.176337033,0.912847452
Almond Milk Peach Yogurt,Vanilla Almond Milk Yogurt,783,0.026318788,4703,0.158080792,5430,0.182517266,0.166489475,0.144198895,0.912184794
Baby Food Stage 2 Pumpkin Banana,"Peach,  Apricot & Banana Stage 2 Baby Food",695,0.023360866,4457,0.149812054,5094,0.17122338,0.155934485,0.136435022,0.910707902
Vanilla Almond Milk Yogurt,Almond Milk Peach Yogurt,778,0.026150724,5430,0.182517266,4703,0.158080792,0.143278085,0.165426324,0.90635986
Mixed Berries Whole Milk Icelandic Style Skyr Yogurt,Strawberry Rhubarb Yogurt,1437,0.048301531,7213,0.24244881,6560,0.220499681,0.199223624,0.219054878,0.903509808
Raspberry on the Bottom Nonfat Greek Yogurt,Blueberry on the Bottom Nonfat Greek Yogurt,948,0.031864893,5021,0.168769649,6368,0.214046031,0.188807011,0.148869347,0.882086014
Organic Greek Nonfat Yogurt With Mixed Berries,Organic Nonfat Greek Yogurt With Peaches,1222,0.041074788,6887,0.231491052,6062,0.203760528,0.177435749,0.201583636,0.870805304
Organic Greek Lowfat Yogurt With Blueberries,Organic Greek Lowfat Yogurt With Strawberries,867,0.02914226,4774,0.160467298,6302,0.211827589,0.181608714,0.137575373,0.857342117
Organic Raspberry Lowfat Yogurt,Organic Peach Lowfat Yogurt,642,0.021579389,5266,0.177004774,4237,0.142417248,0.121914166,0.151522304,0.856035123
Almond Milk Blueberry Yogurt,Vanilla Almond Milk Yogurt,729,0.024503699,4714,0.158450533,5430,0.182517266,0.154645736,0.134254144,0.847293735
Peach on the Bottom Nonfat Greek Yogurt,Non Fat Black Cherry on the Bottom Greek Yogurt,1028,0.034553913,7763,0.260935826,4660,0.156635444,0.132423032,0.220600858,0.845421886
"Yogurt, Lowfat, Strawberry",Organic Raspberry Lowfat Yogurt,1199,0.040301695,8025,0.269742368,5266,0.177004774,0.1494081,0.227687049,0.844090791
Vitamin Water Zero Rise Orange,Vitamin Water Zero Squeezed Lemonade,684,0.022991125,4308,0.144803754,5601,0.188265047,0.158774373,0.12212105,0.843355554
Peach on the Bottom Nonfat Greek Yogurt,Blueberry on the Bottom Nonfat Greek Yogurt,1382,0.046452829,7763,0.260935826,6368,0.214046031,0.17802396,0.217022613,0.831708762
Peach on the Bottom Nonfat Greek Yogurt,Low-Fat Mango on the Bottom Greek Yogurt,775,0.026049886,7763,0.260935826,3578,0.120266442,0.099832539,0.216601453,0.830094727
Apple Pie Fruit & Nut Food Bar,Cherry Pie Fruit & Nut Bar,1152,0.038721895,7461,0.250784774,5536,0.186080218,0.154402895,0.208092486,0.82976523
Cherry Pie Fruit & Nut Bar,Lemon Fruit & Nut Food Bar,609,0.020470169,5536,0.186080218,3964,0.133240965,0.110007225,0.153632694,0.825626151
Organic Mixed Berry Yogurt & Fruit Snack,Organic Strawberry Yogurt & Fruit Snack,699,0.023495317,5548,0.186483571,4549,0.152904428,0.125991348,0.153660145,0.823987572
Peach on the Bottom Nonfat Greek Yogurt,Raspberry on the Bottom Nonfat Greek Yogurt,1068,0.035898424,7763,0.260935826,5021,0.168769649,0.13757568,0.212706632,0.81516837
Strawberry on the Bottom Nonfat Greek Yogurt,Non Fat Black Cherry on the Bottom Greek Yogurt,966,0.032469922,7622,0.256196428,4660,0.156635444,0.126738389,0.207296137,0.809129695
Strawberry on the Bottom Nonfat Greek Yogurt,Raspberry on the Bottom Nonfat Greek Yogurt,1039,0.034923654,7622,0.256196428,5021,0.168769649,0.136315928,0.20693089,0.807704043
Organic Greek Lowfat Yogurt With Strawberries,Organic Greek Lowfat Yogurt With Cherries,626,0.021041585,6302,0.211827589,3660,0.123022688,0.099333545,0.171038251,0.807440862
Vanilla Almond Milk Yogurt,Almond Milk Strawberry Yogurt,829,0.027864975,5430,0.182517266,5712,0.191996063,0.15267035,0.145133053,0.795174377
Apple Pie Fruit & Nut Food Bar,Lemon Fruit & Nut Food Bar,783,0.026318788,7461,0.250784774,3964,0.133240965,0.104945718,0.19752775,0.787638527
"Juice Beverage, Cold Pressed, Kale Apple Ginger Romaine Spinach Cucumber Celery Parsley Lemon",Beet Apple Carrot Lemon Ginger Organic Cold Pressed Juice Beverage,862,0.028974196,7942,0.26695251,4160,0.139829066,0.108536892,0.207211538,0.77621124
Strawberry on the Bottom Nonfat Greek Yogurt,Peach on the Bottom Nonfat Greek Yogurt,1528,0.051360291,7622,0.256196428,7763,0.260935826,0.200472317,0.196831122,0.768282071
Blueberry Whole Milk Yogurt Pouch,Yotoddler Organic Pear Spinach Mango Yogurt,768,0.025814597,4917,0.165273922,6120,0.205710068,0.1561928,0.125490196,0.759286126
Spinach Peas & Pear Stage 2 Baby Food,Broccoli & Apple Stage 2 Baby Food,1358,0.045646123,8028,0.269843207,6829,0.229541512,0.169157947,0.198857812,0.736938368
Peach on the Bottom Nonfat Greek Yogurt,Pineapple on the Bottom Greek Yogurt,626,0.021041585,7763,0.260935826,3330,0.111930478,0.080638928,0.187987988,0.720437629
Organic Strawberry Yogurt & Fruit Snack,Organic Mixed Berry Yogurt & Fruit Snack,604,0.020302105,4549,0.152904428,5548,0.186483571,0.132776434,0.108868061,0.712000706
Blueberry on the Bottom Nonfat Greek Yogurt,Strawberry on the Bottom Nonfat Greek Yogurt,1159,0.038957184,6368,0.214046031,7622,0.256196428,0.182003769,0.152059827,0.71040713
Blueberry Muffin Bar,Coconut Cream Pie,635,0.0213441,5747,0.19317251,4673,0.15707241,0.110492431,0.13588701,0.703449009
Organic Nonfat Greek Yogurt With Peaches,Organic Greek Nonfat Yogurt With Mixed Berries,986,0.033142178,6062,0.203760528,6887,0.231491052,0.16265259,0.143168288,0.702630139
Non Fat Black Cherry on the Bottom Greek Yogurt,Blueberry on the Bottom Nonfat Greek Yogurt,697,0.023428091,4660,0.156635444,6368,0.214046031,0.149570815,0.109453518,0.698778737
Low-Fat Strawberry Banana on the Bottom Greek Yogurt,Blueberry on the Bottom Nonfat Greek Yogurt,600,0.020167654,4053,0.136232501,6368,0.214046031,0.14803849,0.094221106,0.691619878
Broccoli & Apple Stage 2 Baby Food,Apple and Carrot Stage 2 Baby Food,653,0.02194913,6829,0.229541512,4116,0.138350104,0.095621614,0.158649174,0.691156787
Apple Pie Fruit & Nut Food Bar,Blueberry Muffin Bar,996,0.033478305,7461,0.250784774,5747,0.19317251,0.13349417,0.173307813,0.691061942
Lowfat Blueberry Yogurt,"Yogurt, Lowfat, Strawberry",799,0.026856592,4318,0.145139881,8025,0.269742368,0.18503937,0.099563863,0.685985562
Blueberry on the Bottom Nonfat Greek Yogurt,Raspberry on the Bottom Nonfat Greek Yogurt,736,0.024738989,6368,0.214046031,5021,0.168769649,0.115577889,0.146584346,0.684826272
Fat Free Strawberry Yogurt,Total 0% Peach Yogurt,817,0.027461622,9795,0.329236947,3685,0.123863007,0.083409903,0.221709634,0.673404476
Baby Food Stage 2 Blueberry Pear & Purple Carrot,Apple and Carrot Stage 2 Baby Food,816,0.027428009,8782,0.295187225,4116,0.138350104,0.092917331,0.198250729,0.671610125
Organic Nonfat Greek Yogurt With Peaches,Organic Greek Lowfat Yogurt With Strawberries,844,0.028369166,6062,0.203760528,6302,0.211827589,0.139227978,0.133925738,0.657270273
Peanut Butter Chocolate Chip Fruit & Nut Food Bar,Peanut Butter Cookie,775,0.026049886,7627,0.256364491,4601,0.154652291,0.101612692,0.168441643,0.657039679
Organic Nonfat Greek Yogurt With Peaches,Organic Greek Lowfat Yogurt With Blueberries,630,0.021176036,6062,0.203760528,4774,0.160467298,0.103926097,0.131964809,0.647646582
Coke Classic,Lemon-Lime Fridge Pack Soda,636,0.021377713,10608,0.356564118,2759,0.092737594,0.059954751,0.230518304,0.646498883
Baby Food Stage 2 Blueberry Pear & Purple Carrot,"Peach,  Apricot & Banana Stage 2 Baby Food",972,0.032671599,8782,0.295187225,5094,0.17122338,0.110680938,0.190812721,0.64641253
Blueberry Muffin Bar,Cherry Pie Fruit & Nut Bar,677,0.022755836,5747,0.19317251,5536,0.186080218,0.117800592,0.122290462,0.633063486
Apple Pie Fruit & Nut Food Bar,Coconut Cream Pie,740,0.02487344,7461,0.250784774,4673,0.15707241,0.099182415,0.158356516,0.631443902
Spinach Peas & Pear Stage 2 Baby Food,Apple and Carrot Stage 2 Baby Food,699,0.023495317,8028,0.269843207,4116,0.138350104,0.087070254,0.169825073,0.629347224
Baby Food Stage 2 Blueberry Pear & Purple Carrot,Baby Food Stage 2 Pumpkin Banana,819,0.027528847,8782,0.295187225,4457,0.149812054,0.093258939,0.18375589,0.622506241
Cherry Pie Fruit & Nut Bar,Blueberry Muffin Bar,664,0.02231887,5536,0.186080218,5747,0.19317251,0.119942197,0.115538542,0.620907171
Organic Strawana Probugs Kefir,Goo Berry Pie Probugs Kefir,813,0.027327171,6307,0.211995653,6182,0.207794059,0.128904392,0.131510838,0.620346861
Kiwi Sandia Sparkling Water,Curate Melon Pomelo Sparking Water,1337,0.044940255,9118,0.306481111,7035,0.23646574,0.146633034,0.190049751,0.620102657
Strawberry on the Bottom Nonfat Greek Yogurt,Low-Fat Strawberry Banana on the Bottom Greek Yogurt,639,0.021478551,7622,0.256196428,4053,0.136232501,0.083836263,0.157660992,0.615391063
Spinach Peas & Pear Stage 2 Baby Food,Baby Food Stage 2 Pumpkin Banana,740,0.02487344,8028,0.269843207,4457,0.149812054,0.092177379,0.166030963,0.615286798
Cherry Pie Fruit & Nut Bar,Apple Pie Fruit & Nut Food Bar,850,0.028570843,5536,0.186080218,7461,0.250784774,0.153540462,0.113925747,0.61223997
Organic Greek Nonfat Yogurt With Mixed Berries,Organic Greek Lowfat Yogurt With Blueberries,676,0.022722223,6887,0.231491052,4774,0.160467298,0.098155946,0.141600335,0.611688158
Organic Greek Lowfat Yogurt With Strawberries,Organic Nonfat Greek Yogurt With Peaches,775,0.026049886,6302,0.211827589,6062,0.203760528,0.122976833,0.127845596,0.603536092
Blueberry on the Bottom Nonfat Greek Yogurt,Peach on the Bottom Nonfat Greek Yogurt,989,0.033243016,6368,0.214046031,7763,0.260935826,0.155307789,0.127399201,0.595195344
Raspberry on the Bottom Nonfat Greek Yogurt,Peach on the Bottom Nonfat Greek Yogurt,778,0.026150724,5021,0.168769649,7763,0.260935826,0.154949213,0.100218988,0.593821154
Total 0% Raspberry Yogurt,Fat Free Blueberry Yogurt,1731,0.058183681,12135,0.407890796,7161,0.240700947,0.142645241,0.241726016,0.592624345
Oats & Honey Gluten Free Granola,Maple Pumpkin Seeds with Sea Salt Chewy with a Crunch Granola Bars,619,0.020806296,7973,0.267994505,3913,0.131526715,0.077637025,0.158190647,0.590275709
Peach on the Bottom Nonfat Greek Yogurt,Low-Fat Strawberry Banana on the Bottom Greek Yogurt,617,0.020739071,7763,0.260935826,4053,0.136232501,0.079479583,0.152232914,0.583411317
Vanilla Skyr Style Yogurt,Mixed Berries Whole Milk Icelandic Style Skyr Yogurt,1256,0.042217622,8886,0.298682951,7213,0.24244881,0.141345937,0.174130043,0.58299291
Organic Peach Lowfat Yogurt,"Yogurt, Lowfat, Strawberry",664,0.02231887,4237,0.142417248,8025,0.269742368,0.156714657,0.082741433,0.580979019
Blueberry Muffin Bar,Apple Pie Fruit & Nut Food Bar,830,0.027898588,5747,0.19317251,7461,0.250784774,0.144423177,0.111245141,0.575884951
Blackberry Cucumber Sparkling Water,Curate Melon Pomelo Sparking Water,1515,0.050923326,11181,0.375824227,7035,0.23646574,0.135497719,0.215351812,0.573012055
Peach on the Bottom Nonfat Greek Yogurt,Strawberry on the Bottom Nonfat Greek Yogurt,1137,0.038217704,7763,0.260935826,7622,0.256196428,0.146463996,0.149173445,0.571686332
Goo Berry Pie Probugs Kefir,Organic Strawana Probugs Kefir,745,0.025041503,6182,0.207794059,6307,0.211995653,0.120511161,0.118122721,0.56846053
Fat Free Strawberry Yogurt,Fat Free Blueberry Yogurt,1333,0.044805804,9795,0.329236947,7161,0.240700947,0.136089842,0.186147186,0.565389723
Crunchy Oats 'n Honey Granola Bars,Sweet & Salty Nut Granola Bars Peanut,629,0.021142424,8253,0.277406077,4018,0.135056054,0.07621471,0.156545545,0.564319091
Spinach Peas & Pear Stage 2 Baby Food,Baby Food Stage 2 Blueberry Pear & Purple Carrot,1326,0.044570515,8028,0.269843207,8782,0.295187225,0.165171898,0.150990663,0.559549616
Sweet & Salty Nut Granola Bars Peanut,Crunchy Oats 'n Honey Granola Bars,616,0.020705458,4018,0.135056054,8253,0.277406077,0.153310105,0.074639525,0.552655898
Non Fat Black Cherry on the Bottom Greek Yogurt,Peach on the Bottom Nonfat Greek Yogurt,669,0.022486934,4660,0.156635444,7763,0.260935826,0.143562232,0.086178024,0.550182142
Raspberry on the Bottom Nonfat Greek Yogurt,Strawberry on the Bottom Nonfat Greek Yogurt,707,0.023764219,5021,0.168769649,7622,0.256196428,0.140808604,0.092757806,0.549611894
Blueberry Yoghurt,Raspberry Yoghurt,1500,0.050419134,9770,0.328396628,8352,0.28073374,0.153531218,0.179597701,0.546892647
Organic Raspberry Lowfat Yogurt,"Yogurt, Lowfat, Strawberry",774,0.026016273,5266,0.177004774,8025,0.269742368,0.14698063,0.096448598,0.544892637
Blackberry Cucumber Sparkling Water,Kiwi Sandia Sparkling Water,1863,0.062620565,11181,0.375824227,9118,0.306481111,0.166621948,0.204321123,0.543661394
Organic Greek Nonfat Yogurt With Mixed Berries,Organic Greek Lowfat Yogurt With Strawberries,792,0.026621303,6887,0.231491052,6302,0.211827589,0.114999274,0.125674389,0.542890916
Baby Food Stage 2 Blueberry Pear & Purple Carrot,Pear & Mango Stage 2 Baby Food,640,0.021512164,8782,0.295187225,4016,0.134988829,0.072876338,0.15936255,0.5398694
Strawberry Rhubarb Yogurt,Mixed Berries Whole Milk Icelandic Style Skyr Yogurt,855,0.028738907,6560,0.220499681,7213,0.24244881,0.130335366,0.118535977,0.537578905
Broccoli & Apple Stage 2 Baby Food,Spinach Peas & Pear Stage 2 Baby Food,981,0.032974114,6829,0.229541512,8028,0.269843207,0.143652072,0.122197309,0.532353858
Baby Food Stage 2 Blueberry Pear & Purple Carrot,Broccoli & Apple Stage 2 Baby Food,1067,0.035864811,8782,0.295187225,6829,0.229541512,0.12149852,0.156245424,0.529309573
Blueberry Yoghurt,Peach Yoghurt,642,0.021579389,9770,0.328396628,3723,0.125140291,0.065711361,0.172441579,0.525101553
Baby Food Stage 2 Pumpkin Banana,Baby Food Stage 2 Blueberry Pear & Purple Carrot,688,0.023125576,4457,0.149812054,8782,0.295187225,0.154363922,0.078342063,0.522935646
Apple and Carrot Stage 2 Baby Food,Baby Food Stage 2 Blueberry Pear & Purple Carrot,633,0.021276875,4116,0.138350104,8782,0.295187225,0.153790087,0.072079253,0.520991678
Cherry Pomegranate Greek Yogurt,Total 0% Blueberry Acai Greek Yogurt,711,0.02389867,6840,0.229911252,5968,0.200600929,0.103947368,0.119135389,0.518179896
Raspberry Yoghurt,Blueberry Yoghurt,1416,0.047595663,8352,0.28073374,9770,0.328396628,0.16954023,0.14493347,0.516266659
Strawberry Rhubarb Yoghurt,Blueberry Yoghurt,1649,0.055427435,9937,0.334009958,9770,0.328396628,0.165945456,0.168781986,0.50532022
Spinach Peas & Pear Stage 2 Baby Food,"Peach,  Apricot & Banana Stage 2 Baby Food",692,0.023260027,8028,0.269843207,5094,0.17122338,0.086198306,0.135846093,0.503426027
Total 0% Raspberry Yogurt,Total 0% Peach Yogurt,750,0.025209567,12135,0.407890796,3685,0.123863007,0.061804697,0.203527815,0.498976239
Strawberry Rhubarb Yoghurt,Peach Yoghurt,612,0.020571007,9937,0.334009958,3723,0.125140291,0.061588004,0.164383562,0.492151679
Mixed Berries Whole Milk Icelandic Style Skyr Yogurt,Vanilla Skyr Style Yogurt,1053,0.035394232,7213,0.24244881,8886,0.298682951,0.145986413,0.118501013,0.488767145
Organic Greek Lowfat Yogurt With Strawberries,Organic Greek Nonfat Yogurt With Mixed Berries,692,0.023260027,6302,0.211827589,6887,0.231491052,0.109806411,0.100479164,0.474344083
Beef Franks,Hot Dog Buns,673,0.022621385,6326,0.212634296,6708,0.225474368,0.106386342,0.100327967,0.471833419
Baby Food Stage 2 Blueberry Pear & Purple Carrot,Spinach Peas & Pear Stage 2 Baby Food,1114,0.03744461,8782,0.295187225,8028,0.269843207,0.126850376,0.138764325,0.470089195
Vanilla Skyr Style Yogurt,Strawberry Rhubarb Yogurt,918,0.03085651,8886,0.298682951,6560,0.220499681,0.103308575,0.139939024,0.468520295
Grapefruit Sparkling Water,Lemon Sparkling Water,2164,0.072738004,14721,0.494813384,9405,0.316127972,0.147000883,0.230090377,0.465004353
Gluten Free SpongeBob Spinach Littles,Kids Sensible Foods Broccoli Littles,622,0.020907134,7067,0.237541348,5693,0.191357421,0.088014716,0.109256982,0.459949323
Gluten Free Dark Chocolate Chunk Chewy with a Crunch Granola Bars,Gluten Free Peanut Butter Dark Chocolate Chewy With a Crunch Granola Bars,1099,0.036940419,10680,0.358984236,6672,0.224264309,0.102902622,0.164718225,0.458845289
Total 0% Raspberry Yogurt,Fat Free Strawberry Yogurt,1823,0.061276055,12135,0.407890796,9795,0.329236947,0.150226617,0.186115365,0.456287238
Peanut Butter Chocolate Chip Fruit & Nut Food Bar,Blueberry Muffin Bar,664,0.02231887,7627,0.256364491,5747,0.19317251,0.087059132,0.115538542,0.450680752
